script_id,title,year,gross,writer,producer,director,total female words,total male words,percentage female,percentage male
3332,Shrek the Third,2007,405,m,m,m,1141,7511,13%,87%
3333,Sideways,2004,100,m,m,m,4958,22344,18%,82%
3345,S1m0ne,2002,14,m,m,m,9172,16564,36%,64%
3364,Slither,2006,10,m,m,m,4488,4592,49%,51%
3365,Slumdog Millionaire,2008,170,m,m,m,1242,16392,7%,93%
3378,Snow White and the Huntsman,2012,169,m,f,m,6169,9546,39%,61%
3381,The Social Network,2010,106,m,m,m,1990,18854,10%,90%
3394,Source Code,2011,60,m,m,m,6179,10735,37%,63%
3427,Star Wars: Episode III - Revenge of the Sith,2005,515,m,m,m,1688,12209,12%,88%
3467,Sunshine Cleaning,2008,14,f,m,f,10014,6914,59%,41%
3468,Super 8,2011,139,m,m,m,728,7773,9%,91%
3469,Superbad,2007,153,m,m,m,882,11502,7%,93%
3476,Surrogates,2009,44,m,m,m,3215,9551,25%,75%
3494,Take Shelter,2011,1,m,m,m,4046,7877,34%,66%
3503,Tamara Drewe,2010,0,f,f,m,9568,9021,51%,49%
3509,Ted,2012,239,m,m,m,2415,10277,19%,81%
3516,Terminator Salvation,2009,145,m,f,m,1661,2482,40%,60%
3536,This Is 40,2012,73,m,m,m,9260,10556,47%,53%
3538,Thor,2011,198,f,f,m,5413,15996,25%,75%
3563,Tinker Tailor Soldier Spy,2011,26,f,m,m,565,8829,6%,94%
3605,Troy,2004,186,m,m,m,4116,29712,12%,88%
3621,Twilight,2008,231,f,m,f,6886,7438,48%,52%
3631,The Ugly Truth,2009,103,f,f,m,6033,7968,43%,57%
3641,Up,2009,339,m,m,m,998,13334,7%,93%
3643,Up in the Air,2009,97,m,m,m,4787,7195,40%,60%
3649,Valentine's Day,2010,121,f,m,m,3110,5145,38%,62%
3650,Valkyrie,2008,100,m,m,m,200,15696,1%,99%
3667,The Visitor,2007,11,m,m,m,5084,11442,31%,69%
3680,War Horse,2011,87,m,f,m,1331,6950,16%,84%
3686,Warrior,2011,15,m,f,m,677,9875,6%,94%
3689,Water for Elephants,2011,64,m,m,m,3196,14429,18%,82%
3690,The Way Way Back,2010,2,m,m,m,696,12223,5%,95%
